time,latitude,longitude,depth,mag,nst,horizontalError,depthError,magError,magNst,year,month,day,mag_category,normalized_magnitude,season
2023-03-02 07:19:01.487000+00:00,32.5313,135.7405,16.123,4.5,30.0,5.07,4.815,0.131,18.0,2023,3,2,1,0.0,1
2023-03-02 06:47:39.954000+00:00,33.3315,139.4942,9.945,5.1,65.0,5.01,4.54,0.073,18.0,2023,3,2,2,0.13043478260869557,1
2023-03-02 06:14:51.230000+00:00,43.4055,147.2168,40.09,5.2,91.0,8.74,6.763,0.024,558.0,2023,3,2,2,0.15217391304347827,1
2023-02-28 15:48:02.842000+00:00,35.6762,140.7823,43.894,4.5,27.0,6.74,5.915,0.089,12.0,2023,2,28,1,0.0,4
2023-02-28 11:12:09.077000+00:00,32.9764,141.6939,10.0,5.2,136.0,6.71,1.847,0.083,14.0,2023,2,28,2,0.15217391304347827,4
2023-02-28 03:55:10.857000+00:00,35.8699,140.9309,46.248,4.7,55.0,2.49,6.671,0.066,70.0,2023,2,28,1,0.04347826086956519,4
2023-02-27 18:56:09.265000+00:00,38.5655,142.079,48.169,4.6,54.0,9.13,7.534,0.072,58.0,2023,2,27,1,0.021739130434782483,4
2023-02-25 13:27:42.966000+00:00,42.7801,145.0736,50.181,6.0,157.0,6.53,3.435,0.052,35.0,2023,2,25,3,0.326086956521739,4
2023-02-14 03:08:57.881000+00:00,37.9873,144.4419,10.0,4.5,44.0,10.88,1.946,0.102,28.0,2023,2,14,1,0.0,4
2023-02-13 18:18:54.397000+00:00,42.4825,145.0986,29.097,4.8,79.0,8.44,4.407,0.051,121.0,2023,2,13,1,0.06521739130434767,4
2023-02-13 01:02:42.568000+00:00,37.7448,141.6829,56.649,4.6,103.0,7.94,6.16,0.078,16.0,2023,2,13,1,0.021739130434782483,4
2023-02-12 15:19:36.199000+00:00,32.7792,141.7648,24.929,4.5,17.0,11.02,7.318,0.191,8.0,2023,2,12,1,0.0,4
2023-02-05 00:03:19.669000+00:00,32.655,141.6605,11.0,5.8,212.0,7.52,1.755,0.058,29.0,2023,2,5,2,0.28260869565217384,4
2023-01-30 19:15:43.487000+00:00,37.8497,142.1119,26.488,4.5,66.0,7.61,5.675,0.099,30.0,2023,1,30,1,0.0,4
2023-01-25 01:00:49.643000+00:00,37.5882,141.6818,52.61,4.9,107.0,7.14,4.534,0.098,10.0,2023,1,25,1,0.0869565217391306,4
2023-01-20 18:05:41.219000+00:00,37.7473,141.566,61.691,4.5,148.0,7.32,6.008,0.051,122.0,2023,1,20,1,0.0,4
2023-01-20 05:48:28.582000+00:00,38.9239,142.1003,47.894,5.0,187.0,7.73,6.169,0.044,164.0,2023,1,20,2,0.10869565217391308,4
2023-01-19 03:25:23.797000+00:00,33.7343,137.2383,11.162,4.5,39.0,4.87,3.366,0.144,14.0,2023,1,19,1,0.0,4
2023-01-17 12:59:29.485000+00:00,30.0294,131.0606,29.959,4.6,123.0,6.58,5.106,0.058,88.0,2023,1,17,1,0.021739130434782483,4
2023-01-15 16:25:27.414000+00:00,41.165,142.3275,56.74,4.8,66.0,6.13,5.981,0.051,120.0,2023,1,15,1,0.06521739130434767,4
2023-01-11 16:19:38.252000+00:00,35.3383,141.0673,25.83,4.9,114.0,7.63,4.499,0.062,80.0,2023,1,11,1,0.0869565217391306,4
2023-01-08 01:16:26.095000+00:00,37.0889,141.4075,42.747,4.6,69.0,7.28,6.225,0.05,119.0,2023,1,8,1,0.021739130434782483,4
2023-01-07 14:42:38.037000+00:00,37.48,141.643,47.681,4.7,38.0,8.79,6.991,0.099,31.0,2023,1,7,1,0.04347826086956519,4
2023-01-06 22:27:29.832000+00:00,42.1719,144.9987,35.0,4.5,93.0,8.04,1.823,0.069,62.0,2023,1,6,1,0.0,4
2023-01-06 04:44:03.427000+00:00,37.4215,137.1761,10.0,4.8,66.0,5.65,1.8,0.049,131.0,2023,1,6,1,0.06521739130434767,4
2023-01-03 07:08:35.706000+00:00,40.2108,142.6435,35.0,5.1,112.0,6.55,1.814,0.083,14.0,2023,1,3,2,0.13043478260869557,4
2023-01-02 23:01:13.831000+00:00,31.1665,141.7623,10.0,5.2,89.0,9.19,1.815,0.078,16.0,2023,1,2,2,0.15217391304347827,4
2023-01-02 15:56:16.023000+00:00,36.5797,142.4842,25.237,4.5,49.0,8.35,4.01,0.118,21.0,2023,1,2,1,0.0,4
2023-01-01 21:55:08.183000+00:00,31.3366,140.9507,56.524,4.5,55.0,8.27,4.793,0.108,25.0,2023,1,1,1,0.0,4
2022-12-27 18:51:17.408000+00:00,37.821,141.8199,57.41,4.6,247.0,4.45,4.702,0.038,215.0,2022,12,27,1,0.021739130434782483,4
2022-12-27 17:33:46.455000+00:00,43.9419,148.0449,69.428,4.7,177.0,8.65,6.26,0.043,175.0,2022,12,27,1,0.04347826086956519,4
2022-12-26 23:44:34.503000+00:00,37.6393,141.9524,38.891,4.5,36.0,10.31,10.186,0.097,31.0,2022,12,26,1,0.0,4
2022-12-26 12:05:58.372000+00:00,30.2172,142.239,10.0,5.0,104.0,5.06,1.691,0.078,16.0,2022,12,26,2,0.10869565217391308,4
2022-12-24 01:39:51.619000+00:00,44.2681,148.0394,46.904,4.6,59.0,10.37,6.519,0.063,75.0,2022,12,24,1,0.021739130434782483,4
2022-12-23 14:13:57.324000+00:00,32.1519,142.6342,10.0,4.5,46.0,4.79,1.894,0.103,29.0,2022,12,23,1,0.0,4
2022-12-22 16:39:58.702000+00:00,41.5245,140.4836,10.652,5.0,64.0,2.61,3.896,0.101,34.0,2022,12,22,2,0.10869565217391308,4
2022-12-18 15:02:04.441000+00:00,35.3554,140.3617,32.872,4.5,40.0,6.53,5.142,0.132,19.0,2022,12,18,1,0.0,4
2022-12-18 14:19:38.532000+00:00,30.3923,131.0718,29.046,4.8,66.0,6.82,5.332,0.078,54.0,2022,12,18,1,0.06521739130434767,4
2022-12-17 18:06:02.988000+00:00,31.7958,131.6429,30.0,5.6,204.0,5.03,1.8,0.069,20.0,2022,12,17,2,0.23913043478260865,4
2022-12-17 12:36:36.946000+00:00,32.3348,142.4498,10.0,4.6,50.0,8.37,1.878,0.09,43.0,2022,12,17,1,0.021739130434782483,4
2022-12-15 23:48:01.467000+00:00,40.3866,143.3786,19.047,4.8,96.0,7.16,4.02,0.05,123.0,2022,12,15,1,0.06521739130434767,4
2022-12-15 04:30:41.763000+00:00,42.8462,140.3133,11.96,4.6,53.0,6.45,3.882,0.072,58.0,2022,12,15,1,0.021739130434782483,4
2022-12-14 18:47:46.602000+00:00,41.1186,143.2022,39.576,4.7,34.0,8.13,5.147,0.13,18.0,2022,12,14,1,0.04347826086956519,4
2022-12-12 19:18:06.402000+00:00,32.0293,141.7542,10.0,4.9,108.0,7.7,1.816,0.047,143.0,2022,12,12,1,0.0869565217391306,4
2022-12-12 09:11:58.552000+00:00,32.0145,140.9034,56.053,4.6,54.0,8.23,6.076,0.091,36.0,2022,12,12,1,0.021739130434782483,4
