time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-02T07:19:01.487Z,32.5313,135.7405,16.123,4.5,mb,30,95,1.97,0.44,us,us7000jgs8,2023-03-02T08:13:16.040Z,"135 km S of Shing?, Japan",earthquake,5.07,4.815,0.131,18,reviewed,us,us
2023-03-02T06:47:39.954Z,33.3315,139.4942,9.945,5.1,mww,65,77,0.344,0.49,us,us7000jgry,2023-03-02T07:07:30.040Z,"157 km SSE of Shimoda, Japan",earthquake,5.01,4.54,0.073,18,reviewed,us,us
2023-03-02T06:14:51.230Z,43.4055,147.2168,40.09,5.2,mb,91,116,3.299,0.81,us,us7000jgrs,2023-03-02T06:34:17.040Z,"59 km SE of Shikotan, Russia",earthquake,8.74,6.763,0.024,558,reviewed,us,us
2023-02-28T15:48:02.842Z,35.6762,140.7823,43.894,4.5,mwr,27,139,2.261,0.65,us,us7000jg9d,2023-02-28T16:49:02.040Z,"7 km SW of Hasaki, Japan",earthquake,6.74,5.915,0.089,12,reviewed,us,us
2023-02-28T11:12:09.077Z,32.9764,141.6939,10,5.2,mww,136,93,1.585,0.79,us,us7000jg86,2023-02-28T11:32:11.040Z,"272 km SSE of Katsuura, Japan",earthquake,6.71,1.847,0.083,14,reviewed,us,us
2023-02-28T03:55:10.857Z,35.8699,140.9309,46.248,4.7,mb,55,128,2.301,0.59,us,us7000jg5v,2023-03-01T04:02:27.040Z,"17 km NNE of Hasaki, Japan",earthquake,2.49,6.671,0.066,70,reviewed,us,us
2023-02-27T18:56:09.265Z,38.5655,142.079,48.169,4.6,mb,54,142,2.355,0.72,us,us7000jg2q,2023-02-27T19:44:03.040Z,"near the east coast of Honshu, Japan",earthquake,9.13,7.534,0.072,58,reviewed,us,us
2023-02-26T18:58:54.828Z,44.673,146.5159,134.299,4.5,mb,108,62,2.866,0.82,us,us6000jrs3,2023-02-26T19:38:26.040Z,"84 km NE of Otrada, Russia",earthquake,8.66,5.863,0.059,84,reviewed,us,us
2023-02-25T13:27:42.966Z,42.7801,145.0736,50.181,6,mww,157,49,1.612,0.91,us,us6000jrjl,2023-02-26T13:48:03.381Z,"61 km ESE of Kushiro, Japan",earthquake,6.53,3.435,0.052,35,reviewed,us,us
2023-02-25T03:49:13.589Z,34.8997,140.1181,70.371,4.6,mb,20,172,1.608,0.46,us,us6000jrh0,2023-02-25T04:26:07.040Z,"21 km S of Kamogawa, Japan",earthquake,5.6,9.77,0.207,7,reviewed,us,us
2023-02-19T18:55:42.999Z,42.7956,143.121,132.287,5,mb,162,86,0.781,0.73,us,us6000jq5d,2023-02-27T18:11:35.040Z,"15 km SSW of Obihiro, Japan",earthquake,8.43,4.262,0.023,607,reviewed,us,us
2023-02-14T03:08:57.881Z,37.9873,144.4419,10,4.5,mb,44,193,3.831,0.36,us,us6000jnpn,2023-02-15T00:53:29.040Z,"265 km ESE of Kamaishi, Japan",earthquake,10.88,1.946,0.102,28,reviewed,us,us
2023-02-13T18:18:54.397Z,42.4825,145.0986,29.097,4.8,mb,79,123,1.515,0.86,us,us6000jnm3,2023-02-24T15:00:32.040Z,"80 km SE of Kushiro, Japan",earthquake,8.44,4.407,0.051,121,reviewed,us,us
2023-02-13T01:02:42.568Z,37.7448,141.6829,56.649,4.6,mwr,103,121,3.026,0.81,us,us6000jnij,2023-02-13T10:01:22.634Z,"66 km ENE of Namie, Japan",earthquake,7.94,6.16,0.078,16,reviewed,us,us
2023-02-12T15:19:36.199Z,32.7792,141.7648,24.929,4.5,mb,17,156,1.674,0.6,us,us6000jng8,2023-02-12T17:14:54.040Z,"294 km SSE of Katsuura, Japan",earthquake,11.02,7.318,0.191,8,reviewed,us,us
2023-02-09T18:30:22.419Z,45.0589,141.6509,280.141,4.5,mb,138,88,1.156,0.92,us,us6000jmtw,2023-02-22T19:01:15.040Z,"Hokkaido, Japan region",earthquake,5.98,4.439,0.039,197,reviewed,us,us
2023-02-05T00:03:19.669Z,32.655,141.6605,11,5.8,mww,212,41,1.62,0.55,us,us6000jlh9,2023-03-03T06:29:56.212Z,"Izu Islands, Japan region",earthquake,7.52,1.755,0.058,29,reviewed,us,us
2023-01-30T19:15:43.487Z,37.8497,142.1119,26.488,4.5,mb,66,135,3.046,1.03,us,us6000jke4,2023-02-28T17:46:14.994Z,"95 km SE of Ishinomaki, Japan",earthquake,7.61,5.675,0.099,30,reviewed,us,us
2023-01-29T12:19:47.177Z,35.3532,139.2937,146.936,4.7,mb,96,117,1.134,0.82,us,us6000jk5m,2023-02-12T06:12:23.519Z,"4 km NNW of ?iso, Japan",earthquake,6.01,5.769,0.034,263,reviewed,us,us
2023-01-25T01:00:49.643Z,37.5882,141.6818,52.61,4.9,mww,107,54,2.968,0.59,us,us6000jj1u,2023-03-01T00:51:59.040Z,"61 km E of Namie, Japan",earthquake,7.14,4.534,0.098,10,reviewed,us,us
2023-01-20T18:05:41.219Z,37.7473,141.566,61.691,4.5,mb,148,98,2.94,0.56,us,us7000j5vu,2023-02-15T21:36:22.454Z,"57 km ENE of Namie, Japan",earthquake,7.32,6.008,0.051,122,reviewed,us,us
2023-01-20T05:48:28.582Z,38.9239,142.1003,47.894,5,mb,187,128,2.027,0.85,us,us7000j5pu,2023-01-29T07:02:08.250Z,"37 km ESE of ?funato, Japan",earthquake,7.73,6.169,0.044,164,reviewed,us,us
2023-01-19T03:25:23.797Z,33.7343,137.2383,11.162,4.5,mb,39,87,1.224,0.63,us,us7000j5ep,2023-02-24T00:00:34.040Z,"near the south coast of Honshu, Japan",earthquake,4.87,3.366,0.144,14,reviewed,us,us
2023-01-17T12:59:29.485Z,30.0294,131.0606,29.959,4.6,mb,123,104,1.565,0.35,us,us7000j4vk,2023-02-16T08:15:37.040Z,"55 km ESE of Koshima, Japan",earthquake,6.58,5.106,0.058,88,reviewed,us,us
2023-01-17T02:38:43.842Z,29.5307,141.018,109.102,4.6,mb,59,69,2.635,0.73,us,us7000j4tp,2023-02-23T04:13:50.040Z,"Izu Islands, Japan region",earthquake,5.46,5.683,0.08,46,reviewed,us,us
2023-01-15T16:25:27.414Z,41.165,142.3275,56.74,4.8,mb,66,126,1.027,0.8,us,us7000j4jn,2023-02-11T20:23:43.040Z,"94 km E of Mutsu, Japan",earthquake,6.13,5.981,0.051,120,reviewed,us,us
2023-01-15T04:42:15.225Z,29.947,139.1085,397.967,5.2,mww,143,52,3.215,0.75,us,us7000j4gm,2023-02-10T00:26:16.040Z,"Izu Islands, Japan region",earthquake,7.74,4.294,0.086,13,reviewed,us,us
2023-01-14T23:30:48.136Z,39.8623,143.0784,31.152,4.5,mb,22,217,1.797,0.89,us,us7000j6dh,2023-02-05T22:37:34.040Z,"",earthquake,4.64,9.247,0.242,5,reviewed,us,us
2023-01-11T16:19:38.252Z,35.3383,141.0673,25.83,4.9,mb,114,114,2.449,0.65,us,us7000j3nl,2023-01-30T05:13:51.720Z,"near the east coast of Honshu, Japan",earthquake,7.63,4.499,0.062,80,reviewed,us,us
2023-01-08T01:16:26.095Z,37.0889,141.4075,42.747,4.6,mb,69,120,2.624,0.64,us,us7000j2vx,2023-02-02T23:25:02.475Z,"46 km E of Iwaki, Japan",earthquake,7.28,6.225,0.05,119,reviewed,us,us
2023-01-07T14:42:38.037Z,37.48,141.643,47.681,4.7,mb,38,120,2.904,0.57,us,us7000j2td,2023-01-30T15:23:09.218Z,"56 km E of Namie, Japan",earthquake,8.79,6.991,0.099,31,reviewed,us,us
2023-01-06T22:27:29.832Z,42.1719,144.9987,35,4.5,mb,93,117,1.379,0.71,us,us7000j2nv,2023-02-10T03:56:39.040Z,"102 km SSE of Kushiro, Japan",earthquake,8.04,1.823,0.069,62,reviewed,us,us
2023-01-06T04:44:03.427Z,37.4215,137.1761,10,4.8,mb,66,67,1.201,0.84,us,us7000j2gw,2023-01-26T23:12:13.770Z,"45 km NNE of Nanao, Japan",earthquake,5.65,1.8,0.049,131,reviewed,us,us
2023-01-03T07:08:35.706Z,40.2108,142.6435,35,5.1,mww,112,102,1.336,0.84,us,us7000j1s3,2023-02-15T06:48:24.040Z,"86 km NE of Miyako, Japan",earthquake,6.55,1.814,0.083,14,reviewed,us,us
2023-01-02T23:01:13.831Z,31.1665,141.7623,10,5.2,mww,89,55,2.551,0.7,us,us7000j1pz,2023-02-10T02:16:50.040Z,"Izu Islands, Japan region",earthquake,9.19,1.815,0.078,16,reviewed,us,us
2023-01-02T15:56:16.023Z,36.5797,142.4842,25.237,4.5,mb,49,127,3.442,0.6,us,us7000j1mf,2023-01-17T20:22:52.040Z,"",earthquake,8.35,4.01,0.118,21,reviewed,us,us
2023-01-01T21:55:08.183Z,31.3366,140.9507,56.524,4.5,mb,55,98,2.018,0.78,us,us7000j1hc,2023-01-12T23:37:28.040Z,"Izu Islands, Japan region",earthquake,8.27,4.793,0.108,25,reviewed,us,us
2022-12-27T18:51:17.408Z,37.821,141.8199,57.41,4.6,mb,247,95,3.022,0.57,us,us7000j0ey,2023-01-25T18:41:23.040Z,"80 km SE of Ishinomaki, Japan",earthquake,4.45,4.702,0.038,215,reviewed,us,us
2022-12-27T17:33:46.455Z,43.9419,148.0449,69.428,4.7,mb,177,132,3.936,0.52,us,us7000j0en,2023-01-24T17:59:41.040Z,"east of the Kuril Islands",earthquake,8.65,6.26,0.043,175,reviewed,us,us
2022-12-26T23:44:34.503Z,37.6393,141.9524,38.891,4.5,mb,36,169,3.187,0.44,us,us6000jbvj,2023-01-07T04:43:04.040Z,"85 km ENE of Namie, Japan",earthquake,10.31,10.186,0.097,31,reviewed,us,us
2022-12-26T12:05:58.372Z,30.2172,142.239,10,5,mww,104,100,3.111,0.42,us,us6000jbsh,2023-02-28T05:20:35.040Z,"",earthquake,5.06,1.691,0.078,16,reviewed,us,us
2022-12-24T01:39:51.619Z,44.2681,148.0394,46.904,4.6,mb,59,123,3.92,0.66,us,us6000jbdc,2023-01-22T00:56:21.040Z,"107 km S of Kuril’sk, Russia",earthquake,10.37,6.519,0.063,75,reviewed,us,us
2022-12-23T14:13:57.324Z,32.1519,142.6342,10,4.5,mb,46,123,2.566,0.45,us,us6000jbal,2023-02-28T23:06:47.040Z,"Izu Islands, Japan region",earthquake,4.79,1.894,0.103,29,reviewed,us,us
2022-12-22T16:39:58.702Z,41.5245,140.4836,10.652,5,mb,64,73,0.855,0.49,us,us6000jb3w,2023-02-28T23:06:44.040Z,"34 km SW of Hakodate, Japan",earthquake,2.61,3.896,0.101,34,reviewed,us,us
2022-12-18T15:02:04.441Z,35.3554,140.3617,32.872,4.5,mb,40,91,1.912,0.42,us,us6000ja5i,2023-02-28T23:06:27.040Z,"9 km SE of Mobara, Japan",earthquake,6.53,5.142,0.132,19,reviewed,us,us
2022-12-18T14:19:38.532Z,30.3923,131.0718,29.046,4.8,mb,66,113,1.234,0.59,us,us6000ja5d,2023-02-28T23:06:26.040Z,"38 km S of Nishinoomote, Japan",earthquake,6.82,5.332,0.078,54,reviewed,us,us
2022-12-17T18:07:57.633Z,31.7711,131.2924,79.865,4.8,mb,44,136,0.762,0.75,us,us7000j0g3,2023-02-28T23:06:23.040Z,"19 km SW of Miyazaki, Japan",earthquake,11.83,7.707,0.099,33,reviewed,us,us
2022-12-17T18:06:02.988Z,31.7958,131.6429,30,5.6,mww,204,70,1.054,0.94,us,us6000ja1a,2023-02-28T23:06:23.040Z,"25 km ESE of Miyazaki, Japan",earthquake,5.03,1.8,0.069,20,reviewed,us,us
2022-12-17T12:36:36.946Z,32.3348,142.4498,10,4.6,mb,50,119,2.354,0.33,us,us6000j9zw,2023-02-28T23:06:21.040Z,"",earthquake,8.37,1.878,0.09,43,reviewed,us,us
2022-12-15T23:48:01.467Z,40.3866,143.3786,19.047,4.8,mb,96,51,1.635,0.63,us,us6000j9l6,2023-02-18T22:04:14.040Z,"147 km ENE of Miyako, Japan",earthquake,7.16,4.02,0.05,123,reviewed,us,us
2022-12-15T18:19:55.713Z,30.6773,138.7003,375.408,4.5,mb,109,54,2.603,0.59,us,us6000j9ir,2023-02-18T22:04:14.040Z,"Izu Islands, Japan region",earthquake,8.72,2.611,0.06,88,reviewed,us,us
2022-12-15T04:30:41.763Z,42.8462,140.3133,11.96,4.6,mb,53,56,2.091,0.28,us,us6000j9ca,2023-02-18T22:04:11.040Z,"21 km SW of Iwanai, Japan",earthquake,6.45,3.882,0.072,58,reviewed,us,us
2022-12-14T18:47:46.602Z,41.1186,143.2022,39.576,4.7,mb,34,141,0.896,0.63,us,us6000jacc,2023-02-18T22:04:19.040Z,"151 km SSE of Shizunai-furukawach?, Japan",earthquake,8.13,5.147,0.13,18,reviewed,us,us
2022-12-12T19:18:06.402Z,32.0293,141.7542,10,4.9,mb,108,50,1.964,0.69,us,us6000j8uj,2023-02-18T22:04:06.040Z,"Izu Islands, Japan region",earthquake,7.7,1.816,0.047,143,reviewed,us,us
2022-12-12T09:11:58.552Z,32.0145,140.9034,56.053,4.6,mb,54,100,1.432,1.02,us,us6000j8qw,2023-02-18T22:04:05.040Z,"Izu Islands, Japan region",earthquake,8.23,6.076,0.091,36,reviewed,us,us
